,x_emb,y_emb,t,name,house,good_bad,degree,main,id
0,0.43445688,-1.3437802,0,Regulus Arcturus Black,s,bad,4,0,0
1,0.594216,-1.3772802,0,Sirius Black,g,bad,12,0,1
2,0.15639628,-1.1284686,0,Lavender Brown,g,good,1,0,2
3,0.278083,-1.4408135,0,Cho Chang,r,bad,1,0,3
4,0.26351708,-1.1276588,0,Vincent Crabbe,s,good,3,0,4
5,0.1995619,-1.2614226,0,"Bartemius ""Barty"" Crouch Sr.",n,bad,2,0,5
6,0.3444893,-1.4609193,0,"Bartemius ""Barty"" Crouch Jr.",s,good,9,0,6
7,0.50907433,-0.9857424,0,Fleur Delacour,n,bad,1,0,7
8,0.21385168,-1.2514453,0,Cedric Diggory,h,bad,1,0,8
9,0.5063527,-1.2478832,0,Albus Dumbledore,g,bad,18,1,9
10,0.5378244,-1.2928253,0,Dudley Dursley,m,good,2,0,10
11,0.25384364,-1.2705779,0,Petunia Dursley,m,good,4,0,11
12,0.35880855,-1.1740124,0,Vernon Dursley,m,good,3,0,12
13,0.42491418,-1.3877205,0,Argus Filch,n,good,10,0,13
14,0.43224832,-1.3338056,0,Cornelius Fudge,n,good,3,0,14
15,0.53863984,-1.1118817,0,Gregory Goyle,s,good,3,0,15
16,0.5330566,-1.3353499,0,Hermione Granger,g,bad,19,1,16
17,0.28353974,-1.3810275,0,Rubeus Hagrid,g,bad,3,0,17
18,0.40588358,-1.1064848,0,Igor Karkaroff,n,bad,1,0,18
19,0.7026299,-1.3265597,0,Bellatrix Lestrange,s,good,11,0,19
20,0.20024423,-1.2887596,0,Frank Longbottom,g,bad,1,0,20
21,0.38121247,-1.2065434,0,Neville Longbottom,g,bad,2,0,21
22,0.3342847,-1.2957472,0,Remus Lupin,g,bad,2,0,22
23,0.56972885,-1.305009,0,Draco Malfoy,s,good,7,0,23
24,0.54947066,-1.2952062,0,Lucius Malfoy,s,good,7,0,24
25,0.531464,-1.0841247,0,Narcissa Malfoy,s,good,1,0,25
26,0.30520174,-1.3470722,0,Minerva McGonagall,g,bad,6,0,26
27,0.081124924,-1.3992226,0,"Alastor ""Mad-Eye"" Moody",n,bad,5,0,27
28,0.25650674,-1.430096,0,Peter Pettigrew,g,good,19,1,28
29,0.55317485,-1.3787163,0,Harry Potter,g,bad,22,1,29
30,0.5470471,-1.2947946,0,James Potter,g,bad,7,0,30
31,0.4805624,-1.4171008,0,Lily Potter,g,bad,5,0,31
32,0.1922359,-1.2741677,0,Quirinus Quirrell,r,good,11,0,32
33,0.32771868,-1.4225409,0,Tom Riddle Sr.,m,bad,5,0,33
34,0.34846017,-1.1867504,0,Mary Riddle,m,bad,1,0,34
35,0.48240066,-1.5435001,0,Lord Voldemort,s,good,37,1,35
36,0.5360226,-1.0534127,0,Rita Skeeter,n,good,5,0,36
37,0.20178714,-1.3615079,0,Severus Snape,s,bad,4,0,37
38,0.40278816,-1.2603607,0,Nymphadora Tonks,h,bad,2,0,38
39,0.46312132,-1.2669657,0,Dolores Janes Umbridge,n,good,12,0,39
40,0.34347504,-1.3102399,0,Arthur Weasley,g,bad,2,0,40
41,0.39964244,-1.1962539,0,Bill Weasley,g,bad,1,0,41
42,0.18801339,-1.3284574,0,Charlie Weasley,g,bad,1,0,42
