,x_emb,y_emb,t,name,house,good_bad,degree,main,id
0,-0.41008794,-0.8248811,0,Regulus Arcturus Black,s,bad,72,0,0
1,-0.333588,-0.72375566,0,Sirius Black,g,bad,146,0,1
2,-0.35469908,-0.5184307,0,Lavender Brown,g,good,19,0,2
3,-0.3024081,-0.6426053,0,Cho Chang,r,bad,37,0,3
4,-0.16839644,-0.44788668,0,Vincent Crabbe,s,good,55,0,4
5,-0.24535131,-0.4671873,0,"Bartemius ""Barty"" Crouch Sr.",n,bad,18,0,5
6,-0.12849551,-0.54668516,0,"Bartemius ""Barty"" Crouch Jr.",s,good,70,0,6
7,-0.08647247,-0.44813502,0,Fleur Delacour,n,bad,11,0,7
8,-0.21593057,-0.76545966,0,Cedric Diggory,h,bad,37,0,8
9,-0.26359233,-0.8805286,0,Albus Dumbledore,g,bad,180,0,9
10,0.0049778637,-0.42504662,0,Dudley Dursley,m,good,25,0,10
11,-0.22155741,-0.6454562,0,Petunia Dursley,m,good,63,0,11
12,-0.3851865,-0.46325326,0,Vernon Dursley,m,good,58,0,12
13,-0.14891171,-0.7421371,0,Argus Filch,n,good,108,0,13
14,-0.11901487,-0.64996517,0,Cornelius Fudge,n,good,42,0,14
15,-0.31280732,-0.53865445,0,Gregory Goyle,s,good,55,0,15
16,-0.41812637,-0.90123737,0,Hermione Granger,g,bad,196,1,16
17,-0.21071576,-0.7432798,0,Rubeus Hagrid,g,bad,49,0,17
18,-0.21667477,-0.5359087,0,Igor Karkaroff,n,bad,37,0,18
19,-0.370396,-0.5509683,0,Bellatrix Lestrange,s,good,98,0,19
20,-0.1866936,-0.6850847,0,Frank Longbottom,g,bad,37,0,20
21,-0.11357522,-0.7968414,0,Neville Longbottom,g,bad,44,0,21
22,-0.36934307,-0.7323178,0,Remus Lupin,g,bad,56,0,22
23,-0.19677457,-0.6711443,0,Draco Malfoy,s,good,95,0,23
24,-0.19714756,-0.76062566,0,Lucius Malfoy,s,good,63,0,24
25,-0.28216052,-0.41129822,0,Narcissa Malfoy,s,good,12,0,25
26,-0.24060088,-0.9537867,0,Minerva McGonagall,g,bad,142,0,26
27,-0.2215414,-0.63490164,0,"Alastor ""Mad-Eye"" Moody",n,bad,101,0,27
28,-0.18269654,-0.88063586,0,Peter Pettigrew,g,good,189,0,28
29,-0.23978862,-0.7162984,0,Harry Potter,g,bad,201,1,29
30,-0.12172903,-0.81505936,0,James Potter,g,bad,160,0,30
31,-0.21093094,-0.797776,0,Lily Potter,g,bad,116,0,31
32,-0.37243903,-0.9053833,0,Quirinus Quirrell,r,good,248,1,32
33,-0.22445765,-0.6394708,0,Tom Riddle Sr.,m,bad,121,0,33
34,-0.34845942,-0.6365059,0,Mary Riddle,m,bad,37,0,34
35,-0.2665415,-0.7911035,0,Lord Voldemort,s,good,213,1,35
36,-0.31006548,-0.7123273,0,Rita Skeeter,n,good,98,0,36
37,-0.4391601,-0.86934215,0,Severus Snape,s,bad,95,0,37
38,-0.30123097,-0.48892197,0,Nymphadora Tonks,h,bad,48,0,38
39,-0.18431902,-0.83826864,0,Dolores Janes Umbridge,n,good,212,1,39
40,-0.27137196,-0.49575382,0,Arthur Weasley,g,bad,10,0,40
41,-0.24172677,-0.62141573,0,Bill Weasley,g,bad,37,0,41
42,-0.35323256,-0.68957776,0,Charlie Weasley,g,bad,37,0,42
43,-0.17665401,-0.83121145,0,Fred Weasley,g,bad,66,0,43
44,-0.30536595,-0.53406996,0,George Weasley,g,bad,66,0,44
45,-0.393991,-0.63504803,0,Ginny Weasley,g,bad,56,0,45
46,-0.29294327,-0.62047136,0,Molly Weasley,g,bad,55,0,46
47,-0.42448744,-0.89937973,0,Ron Weasley,g,bad,132,0,47
48,-0.38370612,-0.7920811,0,Dobby,n,bad,43,0,48
