,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9
0,0,37,41,33,45,31,30,31,22,47
1,1,22,30,32,28,13,22,1,28,36
2,2,13,35,9,32,49,4,39,36,28
3,3,33,30,31,1,31,16,29,44,26
4,4,23,19,28,39,24,35,13,39,19
5,5,37,27,26,3,46,37,29,1,33
6,6,35,15,35,50,24,49,6,35,10
7,7,46,34,37,27,29,47,44,45,43
8,8,32,49,28,0,20,47,37,29,30
9,9,33,27,37,41,26,27,8,37,19
10,10,15,23,4,28,50,23,32,37,34
11,11,32,35,28,32,39,24,36,19,35
12,12,28,19,0,25,37,31,8,37,29
13,13,23,24,32,12,36,12,32,28,19
14,14,4,23,12,39,10,4,32,10,13
15,15,32,28,13,35,6,4,24,19,50
16,16,27,38,7,1,9,47,29,9,34
17,17,29,31,47,29,43,17,30,43,16
18,18,21,43,37,18,27,18,22,31,29
19,19,36,4,23,35,23,6,35,39,13
20,20,27,26,9,7,1,19,32,11,13
21,21,45,17,18,46,38,47,9,16,44
22,22,16,29,47,9,47,16,44,37,31
23,23,24,23,35,16,26,46,48,46,0
24,24,28,32,49,23,19,24,0,41,21
25,25,0,25,0,38,21,8,38,33,43
26,26,8,45,38,27,5,37,3,46,34
27,27,16,9,33,3,26,9,16,1,22
28,28,50,28,4,11,39,23,4,35,6
29,29,47,9,22,26,30,31,44,9,29
30,30,47,1,48,40,29,43,16,29,16
31,31,43,17,16,9,45,21,44,37,43
32,32,36,39,50,39,32,36,28,2,35
33,33,3,32,20,41,44,32,41,26,16
34,34,0,48,0,25,0,42,20,3,22
35,35,28,39,36,12,36,35,24,39,11
36,36,13,30,32,15,35,37,33,1,35
37,37,28,39,50,32,15,39,32,35,28
38,38,47,9,29,26,17,32,1,32,15
39,39,2,32,23,15,32,35,10,6,28
40,40,48,9,16,9,1,0,25,13,35
41,41,34,41,33,44,30,33,47,16,5
42,42,9,16,44,37,16,9,30,44,31
43,43,32,22,43,17,26,9,43,27,32
44,44,17,3,37,44,20,26,30,9,1
45,45,37,5,29,30,20,33,37,31,30
46,46,29,47,30,32,6,24,35,13,2
47,47,48,47,26,32,50,49,23,39,23
48,48,40,47,29,30,44,37,28,2,15
49,49,35,39,28,0,31,33,44,26,32
50,50,19,11,4,13,23,13,49,39,2
51,0,32,23,35,13,10,12,39,36,39
52,1,46,0,33,8,32,49,32,36,12
53,2,39,32,39,11,39,35,6,39,36
54,3,38,45,0,30,46,26,47,16,9
55,4,36,32,26,30,8,47,31,30,42
56,5,37,47,31,26,44,1,30,31,18
57,6,11,19,28,35,16,9,45,30,43
58,7,1,26,22,1,3,33,37,32,28
59,8,17,27,38,18,8,26,21,16,37
60,9,26,27,33,21,1,47,16,47,8
61,10,12,11,35,28,25,0,1,29,35
62,11,35,11,32,45,17,31,9,33,32
