,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
0,0,19,46,24,29,10,29,28,29,23,21,35,30,28,9,39,9,12,29,32
1,1,28,1,28,31,11,29,28,9,32,16,39,16,23,16,39,26,6,26,39
2,2,16,39,47,50,16,32,16,32,29,23,47,28,9,36,29,6,26,35,33
3,3,35,20,35,42,35,34,35,22,28,31,35,45,35,37,35,46,19,46,24
4,4,16,32,29,39,16,15,16,4,47,15,16,15,16,39,16,39,16,23,29
5,5,6,16,13,26,35,3,35,30,28,31,35,26,13,16,6,29,39,29,50
6,6,27,6,37,35,20,35,3,35,27,6,37,1,28,30,28,31,11,9,36
7,7,19,48,23,21,35,3,35,38,19,38,19,48,19,48,23,16,35,29,28
8,8,35,26,6,5,6,26,35,30,28,9,12,9,39,16,15,47,23,16,15
9,9,36,9,39,16,39,16,32,35,29,32,9,36,9,39,26,35,44,28,30
10,10,29,6,27,35,34,35,46,24,48,19,29,14,9,36,29,11,29,39,9
11,11,9,19,1,28,29,28,29,12,29,14,40,14,29,36,9,28,9,39,9
12,12,29,32,16,49,29,35,16,32,16,50,47,19,48,24,46,24,47,15,16
13,13,28,31,35,33,35,20,35,20,35,21,35,26,39,9,12,29,10,17,10
14,14,9,39,9,32,16,13,43,13,44,13,26,6,27,6,29,4,29,6,27
15,15,47,13,28,31,35,33,35,42,35,33,35,21,35,34,35,27,35,31,11
16,16,32,9,36,9,14,9,39,16,23,21,23,47,50,47,49,16,15,29,50
17,17,13,43,35,38,19,1,19,0,35,17,35,42,35,16,23,16,39,16,39
18,18,35,17,35,22,35,1,13,28,1,28,1,0,35,44,28,22,35,1,25
19,19,1,37,35,20,35,26,35,41,35,3,35,3,35,29,39,9,32,35,17
20,20,35,43,13,43,35,46,19,48,19,1,19,0,35,26,35,1,28,1,28
21,21,35,17,13,44,13,1,0,35,31,35,30,28,47,35,32,29,13,17,10
22,22,28,43,35,32,9,36,29,32,16,23,21,35,37,1,19,9,39,9,39
23,23,48,23,47,49,47,23,47,28,45,35,44,35,20,35,30,35,16,4,29
24,24,40,14,40,24,48,23,16,39,16,23,16,39,29,50,47,4,47,49,47
25,25,1,0,1,25,1,0,19,29,35,30,28,45,28,31,28,43,13,29,23
26,26,6,27,35,33,35,42,35,22,35,17,10,29,4,16,39,16,4,47,49
27,27,6,16,2,16,6,26,35,34,35,1,28,47,19,48,24,1,25,1,13
28,28,30,28,1,28,43,13,26,35,45,35,45,35,26,35,22,28,30,28,9
29,29,6,27,35,26,6,29,6,5,6,27,35,9,11,29,15,16,13,43,13
30,30,35,27,35,26,6,5,6,5,6,37,35,0,35,31,28,45,35,0,35
31,31,11,9,19,0,1,37,6,27,6,26,35,33,35,45,35,32,16,13,30
32,32,29,19,0,1,35,33,35,31,28,45,28,9,11,9,14,9,39,29,39
33,33,35,33,35,17,13,30,28,30,28,1,19,9,32,9,32,35,16,28,1
34,34,35,16,32,16,2,16,6,27,35,33,35,29,19,7,19,9,12,9,32
35,35,0,1,28,29,28,30,13,16,32,9,39,29,4,29,23,47,49,47,13
36,36,29,50,16,15,47,13,44,13,29,11,29,50,47,49,29,39,47,4,16
37,37,35,21,23,16,13,1,19,48,24,47,49,16,39,29,32,16,4,47,15
38,38,35,21,35,30,35,31,35,37,1,28,29,36,29,10,29,24,40,24,29
39,39,16,39,9,14,9,39,29,10,29,35,37,35,26,13,28,1,0,35,38
40,40,14,40,24,47,39,16,4,29,32,29,49,29,14,40,24,1,19,48,19
41,41,35,44,35,16,39,29,12,9,39,16,49,16,39,16,15,47,49,47,23
42,42,35,30,28,16,6,37,1,0,1,19,9,36,29,36,9,11,9,39,26
43,43,28,13,26,35,38,35,32,16,39,9,36,29,36,9,36,29,10,17,10
44,44,13,43,28,30,28,30,35,46,19,1,28,30,28,1,19,0,19,46,35
45,45,28,43,35,3,35,21,35,41,35,41,35,33,35,26,13,16,4,29,36
46,46,35,37,35,37,6,16,13,47,23,47,49,16,39,47,49,29,39,16,39
47,47,4,47,50,16,32,29,39,16,4,47,23,16,15,16,39,29,19,48,19
48,48,19,0,1,35,41,35,34,35,44,13,26,13,17,35,31,35,31,35,3
49,49,47,23,21,35,20,35,30,28,30,35,1,37,35,37,35,20,35,47,24
50,50,16,23,47,49,47,19,7,19,1,28,30,28,30,28,30,35,27,6,37
51,0,35,32,29,32,9,36,9,39,29,12,29,39,16,32,35,30,28,9,12
52,1,19,46,24,40,24,48,19,47,15,16,39,9,32,16,15,47,15,16,32
53,2,16,15,47,23,29,35,33,35,38,19,38,35,37,6,27,35,0,35,44
